id,movie_id,genre_id
0,19995,28
1,19995,12
2,19995,14
3,19995,878
4,285,12
5,285,14
6,285,28
7,206647,28
8,206647,12
9,206647,80
10,49026,28
11,49026,80
12,49026,18
13,49026,53
14,49529,28
15,49529,12
16,49529,878
17,559,14
18,559,28
19,559,12
20,38757,16
21,38757,10751
22,99861,28
23,99861,12
24,99861,878
25,767,12
26,767,14
27,767,10751
28,209112,28
29,209112,12
30,209112,14
31,1452,12
32,1452,14
33,1452,28
34,1452,878
35,10764,12
36,10764,28
37,10764,53
38,10764,80
39,58,12
40,58,14
41,58,28
42,57201,28
43,57201,12
44,57201,37
45,49521,28
46,49521,12
47,49521,14
48,49521,878
49,2454,12
50,2454,10751
51,2454,14
52,24428,878
53,24428,28
54,24428,12
55,1865,12
56,1865,28
57,1865,14
58,41154,28
59,41154,35
60,41154,878
61,122917,28
62,122917,12
63,122917,14
64,1930,28
65,1930,12
66,1930,14
67,20662,28
68,20662,12
69,57158,12
70,57158,14
71,2268,12
72,2268,14
73,254,12
74,254,18
75,254,28
76,597,18
77,597,10749
78,597,53
79,271110,12
80,271110,28
81,271110,878
82,44833,53
83,44833,28
84,44833,12
85,44833,878
86,135397,28
87,135397,12
88,135397,878
89,135397,53
90,37724,28
91,37724,12
92,37724,53
93,558,28
94,558,12
95,558,14
96,68721,28
97,68721,12
98,68721,878
99,12155,10751
100,12155,14
101,12155,12
102,36668,12
103,36668,28
104,36668,878
105,36668,53
106,62211,16
107,62211,10751
108,8373,878
109,8373,28
110,8373,12
111,91314,878
112,91314,28
113,91314,12
114,68728,14
115,68728,12
116,68728,10751
117,102382,28
118,102382,12
119,102382,14
120,20526,12
121,20526,28
122,20526,878
123,49013,16
124,49013,10751
125,49013,12
126,49013,35
127,44912,12
128,44912,28
129,44912,53
130,44912,878
131,10193,16
132,10193,10751
133,10193,35
134,534,28
135,534,878
136,534,53
137,168259,28
138,72190,28
139,72190,18
140,72190,27
141,72190,878
142,72190,53
143,127585,28
144,127585,12
145,127585,14
146,127585,878
147,54138,28
148,54138,12
149,54138,878
150,81005,28
151,81005,10751
152,81005,14
153,64682,18
154,64682,10749
155,9543,12
156,9543,14
157,9543,28
158,9543,10749
159,68726,28
160,68726,878
161,68726,12
162,38356,28
163,38356,878
164,38356,12
165,217,12
166,217,28
167,105864,12
168,105864,16
169,105864,10751
170,62177,16
171,62177,12
172,62177,35
173,62177,10751
174,62177,28
175,62177,14
176,188927,28
177,188927,12
178,188927,878
179,10681,16
180,10681,10751
181,5174,28
182,5174,35
183,5174,80
184,5174,53
185,14161,28
186,14161,12
187,14161,878
188,17979,16
189,17979,18
190,76757,878
191,76757,14
192,76757,28
193,76757,12
194,258489,28
195,258489,12
196,411,12
197,411,10751
198,411,14
199,246655,878
200,155,18
201,155,28
202,155,80
203,155,53
204,14160,16
205,14160,35
206,14160,10751
207,14160,12
208,15512,16
209,15512,10751
210,15512,12
211,15512,878
212,1726,28
213,1726,878
214,1726,12
215,44826,12
216,44826,18
217,44826,10751
218,8487,28
219,8487,12
220,8487,35
221,8487,878
222,8487,37
223,1735,12
224,1735,28
225,1735,14
226,297761,28
227,297761,12
228,297761,80
229,297761,14
230,297761,878
231,2698,14
232,2698,35
233,2698,10751
234,137113,28
235,137113,878
236,9804,12
237,9804,28
238,14869,12
239,14869,28
240,14869,53
241,14869,878
242,150540,18
243,150540,35
244,150540,16
245,150540,10751
246,278927,10751
247,278927,12
248,278927,18
249,278927,14
250,10138,12
251,10138,28
252,10138,878
253,58595,12
254,58595,14
255,58595,18
256,102651,14
257,102651,12
258,102651,28
259,102651,10751
260,102651,10749
261,119450,878
262,119450,28
263,119450,18
264,119450,53
265,79698,28
266,79698,12
267,79698,878
268,79698,10749
269,64686,18
270,64686,28
271,64686,12
272,64686,14
273,100402,28
274,100402,12
275,100402,878
276,10192,35
277,10192,12
278,10192,14
279,10192,16
280,10192,10751
281,158852,12
282,158852,10751
283,158852,9648
284,158852,878
285,177572,12
286,177572,10751
287,177572,16
288,177572,28
289,177572,35
290,82690,10751
291,82690,16
292,82690,35
293,82690,12
294,5255,12
295,5255,16
296,5255,10751
297,5255,14
298,47933,28
299,47933,12
300,47933,878
301,10191,14
302,10191,12
303,10191,16
304,10191,10751
305,296,28
306,296,53
307,296,878
308,118340,28
309,118340,878
310,118340,12
311,157336,12
312,157336,18
313,157336,878
314,27205,28
315,27205,53
316,27205,878
317,27205,9648
318,27205,12
319,315011,28
320,315011,12
321,315011,18
322,315011,27
323,315011,878
324,49051,12
325,49051,14
326,49051,28
327,9799,28
328,9799,80
329,9799,53
330,4922,14
331,4922,18
332,4922,53
333,4922,9648
334,4922,10749
335,49538,28
336,49538,878
337,49538,12
338,131634,28
339,131634,12
340,131634,878
341,27022,14
342,27022,12
343,27022,28
344,27022,35
345,27022,18
346,503,12
347,503,28
348,503,18
349,503,53
350,241259,14
351,810,14
352,810,12
353,810,16
354,810,35
355,810,10751
356,68735,28
357,68735,12
358,68735,14
359,87101,878
360,87101,28
361,87101,53
362,87101,12
363,10140,12
364,10140,10751
365,10140,14
366,676,36
367,676,10749
368,676,10752
369,1858,12
370,1858,878
371,1858,28
372,1966,10752
373,1966,36
374,1966,28
375,1966,12
376,1966,18
377,1966,10749
378,675,12
379,675,14
380,675,10751
381,675,9648
382,674,12
383,674,14
384,674,10751
385,8960,14
386,8960,28
387,6479,18
388,6479,27
389,6479,28
390,6479,53
391,6479,878
392,118,12
393,118,35
394,118,10751
395,118,14
396,2062,16
397,2062,35
398,2062,10751
399,2062,14
400,272,28
401,272,80
402,272,18
403,10527,10751
404,10527,16
405,18360,12
406,18360,14
407,18360,28
408,18360,35
409,18360,10751
410,2080,12
411,2080,28
412,2080,53
413,2080,878
414,605,12
415,605,28
416,605,53
417,605,878
418,109445,16
419,109445,12
420,109445,10751
421,604,12
422,604,28
423,604,53
424,604,878
425,76338,28
426,76338,12
427,76338,14
428,76341,28
429,76341,12
430,76341,878
431,76341,53
432,13448,53
433,13448,9648
434,10195,12
435,10195,14
436,10195,28
437,13053,16
438,13053,10751
439,13053,12
440,13053,35
441,19585,14
442,19585,28
443,19585,12
444,19585,10751
445,19585,35
446,57165,12
447,62213,35
448,62213,14
449,177677,28
450,177677,12
451,177677,53
452,7978,18
453,7978,27
454,7978,53
455,5559,10751
456,5559,16
457,5559,12
458,5559,35
459,49444,16
460,49444,10751
461,10196,28
462,10196,12
463,10196,10751
464,10196,14
465,956,12
466,956,28
467,956,53
468,117251,28
469,117251,18
470,117251,53
471,50321,12
472,50321,16
473,50321,10751
474,11619,12
475,11619,16
476,11619,35
477,11619,10751
478,266647,12
479,266647,10751
480,266647,14
481,82703,16
482,82703,12
483,82703,10751
484,652,12
485,652,18
486,652,10752
487,80321,16
488,80321,10751
489,36669,12
490,36669,28
491,36669,53
492,43074,28
493,43074,14
494,43074,35
495,95,28
496,95,53
497,95,878
498,95,12
499,608,28
500,608,12
501,608,35
502,608,878
503,2310,12
504,2310,28
505,2310,16
506,140300,28
507,140300,12
508,140300,16
509,140300,35
510,140300,10751
511,56292,28
512,56292,53
513,56292,12
514,81188,14
515,81188,16
516,81188,10751
517,7552,35
518,616,18
519,616,28
520,616,10752
521,616,36
522,147441,12
523,147441,18
524,147441,28
525,13475,878
526,13475,28
527,13475,12
528,557,14
529,557,28
530,82702,14
531,82702,28
532,82702,12
533,82702,16
534,82702,35
535,82702,10751
536,205584,14
537,10048,28
538,13183,28
539,13183,9648
540,13183,878
541,944,28
542,944,12
543,944,35
544,944,80
545,944,53
546,1927,18
547,1927,28
548,1927,878
549,72559,12
550,72559,28
551,72559,878
552,72559,53
553,7364,28
554,7364,12
555,7364,35
556,7364,18
557,7364,9648
558,2114,12
559,2114,28
560,2114,16
561,2114,14
562,2114,878
563,2114,53
564,1771,28
565,1771,12
566,1771,878
567,36643,12
568,36643,28
569,36643,53
570,8619,12
571,50620,12
572,50620,14
573,50620,18
574,50620,10749
575,65759,16
576,65759,35
577,65759,10751
578,1724,878
579,1724,28
580,1724,12
581,267935,12
582,267935,10751
583,267935,14
584,281957,37
585,281957,18
586,281957,12
587,281957,53
588,77950,16
589,77950,10751
590,44896,16
591,44896,35
592,44896,10751
593,44896,37
594,44896,12
595,270946,10751
596,270946,16
597,270946,12
598,270946,35
599,2503,28
600,2503,18
601,2503,9648
602,2503,53
603,9502,12
604,9502,16
605,9502,10751
606,9502,35
607,102899,878
608,102899,28
609,102899,12
610,101299,12
611,101299,28
612,101299,878
613,228161,14
614,228161,35
615,228161,16
616,228161,878
617,228161,10751
618,74,12
619,74,53
620,74,878
621,8961,12
622,8961,28
623,8961,35
624,8961,53
625,8961,80
626,417859,28
627,417859,12
628,417859,16
629,417859,10751
630,417859,14
631,27576,28
632,27576,9648
633,27576,53
634,86834,18
635,86834,12
636,17578,12
637,17578,16
638,17578,9648
639,673,12
640,673,14
641,673,10751
642,6972,18
643,82700,878
644,82700,28
645,82700,12
646,10567,16
647,10567,10751
648,181533,12
649,181533,35
650,181533,14
651,181533,10751
652,38055,16
653,38055,28
654,38055,35
655,38055,10751
656,38055,878
657,671,12
658,671,14
659,671,10751
660,49524,14
661,49524,28
662,49524,35
663,49524,80
664,22,12
665,22,14
666,22,28
667,131631,878
668,131631,12
669,131631,53
670,591,53
671,591,9648
672,172385,16
673,172385,12
674,172385,35
675,172385,10751
676,36658,12
677,36658,28
678,36658,878
679,36658,53
680,51497,28
681,51497,53
682,51497,80
683,58574,12
684,58574,28
685,58574,80
686,58574,9648
687,18823,12
688,18823,14
689,18823,28
690,861,28
691,861,12
692,861,878
693,1911,12
694,1911,14
695,1911,28
696,49040,28
697,49040,53
698,415,28
699,415,80
700,415,14
701,8871,10751
702,8871,35
703,8871,14
704,435,28
705,435,12
706,435,878
707,435,53
708,955,12
709,955,28
710,955,53
711,2133,18
712,1979,12
713,1979,14
714,1979,28
715,1979,53
716,87827,12
717,87827,18
718,87827,28
719,1250,53
720,1250,28
721,1250,14
722,1250,27
723,324668,28
724,324668,53
725,9471,28
726,9471,12
727,9471,35
728,70981,878
729,70981,12
730,70981,9648
731,10996,10751
732,10996,12
733,10996,16
734,10996,35
735,68724,878
736,68724,28
737,68724,18
738,68724,53
739,2789,28
740,2789,878
741,97020,28
742,97020,878
743,7459,28
744,7459,10751
745,7459,878
746,42888,35
747,42888,18
748,42888,10749
749,37834,28
750,37834,35
751,75612,28
752,75612,878
753,75612,12
754,75612,9648
755,1895,878
756,1895,12
757,1895,28
758,1894,12
759,1894,28
760,1894,878
761,585,16
762,585,35
763,585,10751
764,76170,28
765,76170,878
766,76170,12
767,76170,14
768,1893,12
769,1893,28
770,1893,878
771,49519,12
772,49519,16
773,49519,35
774,49519,10751
775,49519,14
776,2395,14
777,2395,12
778,2395,35
779,2395,10751
780,12100,18
781,12100,28
782,12100,36
783,12100,10752
784,290595,28
785,290595,12
786,290595,18
787,98566,878
788,98566,28
789,98566,12
790,98566,14
791,98566,35
792,49047,878
793,49047,53
794,49047,18
795,9619,28
796,9619,12
797,9619,53
798,308531,14
799,308531,28
800,308531,12
801,308531,35
802,166424,28
803,166424,12
804,166424,878
805,1593,28
806,1593,12
807,1593,35
808,1593,10751
809,1593,14
810,254128,28
811,254128,18
812,254128,53
813,714,12
814,714,28
815,714,53
816,2024,18
817,2024,36
818,2024,10752
819,2024,28
820,163,53
821,163,80
822,787,28
823,787,35
824,787,18
825,787,53
826,262500,12
827,262500,878
828,262500,53
829,2567,18
830,38745,35
831,40805,28
832,40805,80
833,40805,35
834,53182,28
835,53182,10752
836,41513,16
837,41513,10751
838,41513,12
839,41513,35
840,41513,14
841,13700,16
842,13700,10751
843,262504,12
844,262504,878
845,39254,28
846,39254,878
847,39254,18
848,77931,14
849,77931,10751
850,77931,35
851,77931,16
852,1639,28
853,1639,12
854,1639,53
855,80274,878
856,80274,28
857,80274,12
858,1571,28
859,1571,53
860,120,12
861,120,14
862,120,28
863,10204,28
864,10204,12
865,10204,35
866,8489,18
867,10588,35
868,10588,14
869,10588,10751
870,2048,28
871,2048,878
872,1495,18
873,1495,28
874,1495,12
875,1495,36
876,1495,10752
877,10137,16
878,10137,14
879,10137,10751
880,10137,35
881,10198,10749
882,10198,10751
883,10198,16
884,10198,10402
885,286217,18
886,286217,12
887,286217,878
888,1635,28
889,1635,53
890,1635,878
891,1635,12
892,24113,35
893,24113,10749
894,9679,28
895,9679,80
896,9679,53
897,98,28
898,98,18
899,98,12
900,180,28
901,180,53
902,180,878
903,180,9648
904,672,12
905,672,14
906,672,10751
907,36557,12
908,36557,28
909,36557,53
910,869,53
911,869,878
912,869,28
913,869,12
914,280,28
915,280,53
916,280,878
917,11322,36
918,11322,80
919,11322,18
920,4982,18
921,4982,80
922,36955,28
923,36955,53
924,18487,53
925,18487,18
926,18487,80
927,39451,35
928,39451,10749
929,27581,28
930,27581,35
931,27581,80
932,9268,28
933,9268,18
934,9268,9648
935,9268,53
936,68718,18
937,68718,37
938,10545,18
939,10545,16
940,10545,10751
941,11688,12
942,11688,16
943,11688,35
944,11688,10751
