id,from_movie_id,to_movie_id,sim_cos
0,10012,10395,0.25858313
1,10012,10075,0.20049825
2,10012,49730,0.1633559
3,10012,277,0.13788971
4,10012,7978,0.13467106
5,10012,52520,0.1286209
6,10012,834,0.11349505
7,10012,43935,0.11211369
8,100402,1771,0.2818497
9,100402,271110,0.21453318
10,100402,24428,0.19405495
11,100402,99861,0.16280022
12,100402,68721,0.15439539
13,100402,102899,0.13462368
14,100402,10138,0.13133456
15,100402,10195,0.13071261
16,10052,10312,0.21331441
17,10052,287524,0.1797288
18,10052,28211,0.1315016
19,10052,375950,0.12733881
20,10052,11804,0.12642324
21,10052,8470,0.10159428
22,10052,7326,0.10084761
23,10052,19912,0.09948679
24,10068,10998,0.18894309
25,10068,14181,0.17923012
26,10068,60421,0.1755117
27,10068,546,0.16944323
28,10068,345,0.1493988
29,10068,86331,0.13710672
30,10068,75986,0.12699652
31,10068,1412,0.11129324
32,10077,10567,0.22091971
33,10077,88751,0.16221318
34,10077,425,0.16156086
35,10077,17610,0.13683343
36,10077,166424,0.111098126
37,10077,30139,0.10275987
38,10077,62204,0.0994896
39,10077,78394,0.09898992
40,10096,1624,0.1845949
41,10096,2280,0.08777306
42,10096,10391,0.07908327
43,10096,688,0.075036205
44,10096,13576,0.073075615
45,10096,24977,0.072681464
46,10096,72105,0.0690275
47,10096,122906,0.068143874
48,101179,328387,0.11959969
49,101179,13569,0.11074512
50,101179,257344,0.10050801
51,101179,24913,0.089276634
52,101179,22970,0.082236
53,101179,1946,0.08220583
54,101179,12142,0.07980373
55,101179,55779,0.07870727
56,10133,2057,0.13623026
57,10133,256591,0.116829604
58,10133,302699,0.11658975
59,10133,16558,0.115272686
60,10133,8452,0.11162852
61,10133,97430,0.10616085
62,10133,180296,0.0970885
63,10133,198663,0.09419122
64,10138,1726,0.3673433
65,10138,68721,0.3393182
66,10138,99861,0.2533698
67,10138,24428,0.22268446
68,10138,271110,0.22182603
69,10138,1724,0.19985437
70,10138,246655,0.18321264
71,10138,36657,0.18186615
72,10152,9787,0.12201443
73,10152,378237,0.09710636
74,10152,139715,0.0957884
75,10152,165,0.09446375
76,10152,76285,0.093056954
77,10152,1282,0.09177082
78,10152,334527,0.083232015
79,10152,13888,0.07437678
80,10179,11,0.13362166
81,10179,13001,0.13346481
82,10179,7450,0.10723229
83,10179,8069,0.10481667
84,10179,1893,0.10303936
85,10179,285783,0.10115319
86,10179,1894,0.0901892
87,10179,1895,0.08905702
88,10191,82702,0.23292714
89,10191,5494,0.12745371
90,10191,257932,0.11854503
91,10191,14164,0.11206784
92,10191,10800,0.09531671
93,10191,10674,0.0901841
94,10191,27549,0.0884393
95,10191,848,0.08683464
96,10195,76338,0.48339525
97,10195,24428,0.19157876
98,10195,271110,0.16234775
99,10195,10138,0.16067354
100,10195,68721,0.15919979
101,10195,1726,0.15109712
102,10195,99861,0.14471604
103,10195,1771,0.14015548
104,10212,10877,0.111469954
105,10212,391,0.107145615
106,10212,581,0.10243298
107,10212,69848,0.10051958
108,10212,10890,0.099547036
109,10212,9104,0.099314995
